,Avg. Weight (Kgs),Suitability,Category,Color,Finish,Sizes (mm),Qty. Per Box (Pcs),Coverage Area (Sq.mt),Variant_Application
296,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Beige'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['Commercial_Tiles']
297,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['Commercial_Tiles']
298,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Glossy'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['Commercial_Tiles']
302,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['Commercial_Tiles']
305,['14.5'],['Wall'],['Digital Wall Tiles'],['Coffee'],['Matt'],['300 x 600'],['5'],['0.90'],['Commercial_Tiles']
310,['14.5'],['Wall'],['Digital Wall Tiles'],"['Brown', 'White']",['Matt'],['300 x 600'],['5'],['0.90'],['Commercial_Tiles']
319,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Beige'],['Carving'],['600 x 1200'],['2'],['1.44'],['Commercial_Tiles']
321,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Carving'],['600 x 1200'],['2'],['1.44'],['Commercial_Tiles']
322,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Carving'],['600 x 1200'],['2'],['1.44'],['Commercial_Tiles']
330,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Black'],['Matt'],['600 x 600'],['4'],['1.44'],['Commercial_Tiles']
331,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Wood'],['Wood - Punch Matt'],['600 x 600'],['4'],['1.44'],['Commercial_Tiles']
332,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Wood'],['Matt'],['600 x 600'],['4'],['1.44'],['Commercial_Tiles']
333,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['Commercial_Tiles']
334,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['Commercial_Tiles']
335,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Black'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['Commercial_Tiles']
336,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['Commercial_Tiles']
337,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Blue'],['Glossy                                                                                                                             Matt'],['600 x 600'],['4'],['1.44'],['Commercial_Tiles']
340,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Glossy'],['600 x 600'],['4'],['1.44'],['Commercial_Tiles']
342,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Glossy'],['600 x 600'],['4'],['1.44'],['Commercial_Tiles']
343,['14.5'],['Wall'],['Digital Wall Tiles'],['Aqua'],['Sugar'],['300 x 600'],['5'],['0.90'],['Commercial_Tiles']
350,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Commercial_Tiles']
351,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Commercial_Tiles']
