,Avg. Weight (Kgs),Suitability,Category,Color,Finish,Sizes (mm),Qty. Per Box (Pcs),Coverage Area (Sq.mt),Variant_Application
63,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Glossy'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['Living_Room']
64,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
65,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
66,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
67,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
68,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Black'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
69,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
70,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
71,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
72,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
73,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Red'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
74,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
75,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
76,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
77,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Black'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
78,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
79,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
80,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
81,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
82,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Red'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
83,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
84,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
85,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Black'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Living_Room']
